Address,Price,Info,URL
"321 Lakeview Dr # 101, Weston, FL 33326","$240,000","2 bds,2 ba,1,231 sqft- Condo for sale",https://www.zillow.com/homedetails/321-Lakeview-Dr-101-Weston-FL-33326/2102624992_zpid/
"1009 Highland Meadows Dr, Weston, FL 33327","$805,000","6 bds,4 ba,4,086 sqft- House for sale",https://www.zillow.com/homedetails/1009-Highland-Meadows-Dr-Weston-FL-33327/43127573_zpid/
"443 Fairmont Ln, Weston, FL 33326","$825,000","5 bds,5 ba,3,517 sqft- House for sale",https://www.zillow.com/homedetails/443-Fairmont-Ln-Weston-FL-33326/43133899_zpid/
"16102 Emerald Estates Dr Apt 316, Weston, FL 33331","$345,000","2 bds,3 ba,1,296 sqft- Condo for sale",https://www.zillow.com/homedetails/16102-Emerald-Estates-Dr-APT-316-Weston-FL-33331/71733645_zpid/
"1062 Sequoia Ln, Weston, FL 33327","$549,900","5 bds,4 ba,2,144 sqft- House for sale",https://www.zillow.com/homedetails/1062-Sequoia-Ln-Weston-FL-33327/43126794_zpid/
"16200 Saddle Club Rd, Weston, FL 33326","$3,400,000","4 bds,5 ba,9,613 sqft- House for sale",https://www.zillow.com/homedetails/16200-Saddle-Club-Rd-Weston-FL-33326/43131884_zpid/
"2093 E Pasa Verde Ln #0, Fort Lauderdale, FL 33327","$328,500","2 bds,2 ba,1,155 sqft- Townhouse for sale",https://www.zillow.com/homedetails/2093-E-Pasa-Verde-Ln-0-Fort-Lauderdale-FL-33327/2076853354_zpid/
"4157 Pine Ridge Ln, Weston, FL 33331","$433,000","3 bds,2 ba,1,543 sqft- House for sale",https://www.zillow.com/homedetails/4157-Pine-Ridge-Ln-Weston-FL-33331/51617505_zpid/
"19439 S Whitewater Ave, Weston, FL 33332","$709,500","5 bds,4 ba,3,041 sqft- House for sale",https://www.zillow.com/homedetails/19439-S-Whitewater-Ave-Weston-FL-33332/67828730_zpid/
"1520 Seabay Rd, Weston, FL 33326","$485,000","3 bds,2 ba,1,777 sqft- House for sale",https://www.zillow.com/homedetails/1520-Seabay-Rd-Weston-FL-33326/43144966_zpid/
"701 Sunflower Cir, Weston, FL 33327","$527,000","4 bds,3 ba,2,115 sqft- House for sale",https://www.zillow.com/homedetails/701-Sunflower-Cir-Weston-FL-33327/58442813_zpid/
"2573 Eagle Run Ln, Weston, FL 33327","$948,000","4 bds,4 ba,3,415 sqft- House for sale",https://www.zillow.com/homedetails/2573-Eagle-Run-Ln-Weston-FL-33327/43128053_zpid/
"573 Live Oak Ln, Weston, FL 33327","$550,000","4 bds,3 ba,2,240 sqft- House for sale",https://www.zillow.com/homedetails/573-Live-Oak-Ln-Weston-FL-33327/58442917_zpid/
"2402 Deer Creek Rd, Weston, FL 33327","$900,000","4 bds,3 ba,3,696 sqft- House for sale",https://www.zillow.com/homedetails/2402-Deer-Creek-Rd-Weston-FL-33327/51616492_zpid/
"1152 Chenille Cir, Weston, FL 33327","$679,000","6 bds,4 ba,3,071 sqft- House for sale",https://www.zillow.com/homedetails/1152-Chenille-Cir-Weston-FL-33327/54595369_zpid/
"1150 Manor Ct, Weston, FL 33326","$1,099,000","4 bds,4 ba,2,734 sqft- House for sale",https://www.zillow.com/homedetails/1150-Manor-Ct-Weston-FL-33326/43137391_zpid/
"16101 Emerald Estates Dr Apt 146, Weston, FL 33331","$290,000","2 bds,2 ba,1,290 sqft- House for sale",https://www.zillow.com/homedetails/16101-Emerald-Estates-Dr-APT-146-Weston-FL-33331/71733796_zpid/
"374 W Lakeview Dr #203, Fort Lauderdale, FL 33326","$239,000","2 bds,2 ba,1,231 sqft- Condo for sale",https://www.zillow.com/homedetails/374-W-Lakeview-Dr-203-Fort-Lauderdale-FL-33326/2076661671_zpid/
"2680 Riviera Ct, Weston, FL 33332","$1,500,000","5 bds,7 ba,4,940 sqft- House for sale",https://www.zillow.com/homedetails/2680-Riviera-Ct-Weston-FL-33332/43128803_zpid/
